date,zone,cas
3/22/2020,Gombe,19
3/22/2020,Kinshasa,3
3/22/2020,Kintambo,3
3/22/2020,Binza Ozone,2
3/22/2020,Kasa-vubu,2
3/22/2020,Limete,1
3/22/2020,Selembao,1
3/22/2020,N'djili,1
3/23/2020,Gombe,21
3/23/2020,Kintambo,6
3/23/2020,Kinshasa,3
3/23/2020,Kalamu 1,3
3/23/2020,Binza Ozone,2
3/23/2020,Bandalungwa,2
3/23/2020,Kasa-vubu,2
3/23/2020,Limete,2
3/23/2020,Selembao,1
3/23/2020,N'djili,1
3/24/2020,Gombe,21
3/24/2020,Kintambo,6
3/24/2020,Kinshasa,3
3/24/2020,Kalamu 1,3
3/24/2020,Binza Ozone,2
3/24/2020,Bandalungwa,2
3/24/2020,Limete,2
3/24/2020,Lemba,2
3/24/2020,N'djili,2
3/24/2020,Ngiri-Ngiri,1
3/27/2020,Gombe,24
3/27/2020,Kintambo,7
3/27/2020,Binza Méteo,8
3/27/2020,Kalamu 1,3
3/27/2020,Kasa-vubu,3
3/27/2020,Lemba,3
3/27/2020,Bandalungwa,2
3/27/2020,Binza Ozone,2
3/27/2020,Limete,2
3/27/2020,Kinshasa,1
3/27/2020,Ngiri-Ngiri,1
3/27/2020,Barumbu,1
3/30/2020,Gombe,34
3/30/2020,Binza Méteo,15
3/30/2020,Lemba,9
3/30/2020,Kintambo,8
3/30/2020,Kalamu 1,4
3/30/2020,Kasa-vubu,3
3/30/2020,Limete,3
3/30/2020,Bandalungwa,2
3/30/2020,Kinshasa,2
3/30/2020,Binza Ozone,2
3/30/2020,Masina 2,1
3/30/2020,Ngiri-Ngiri,1
3/30/2020,Barumbu,1
3/30/2020,N'sele,1
3/30/2020,Kingabwa,1
3/30/2020,Mont-Ngafula 1,1
3/31/2020,Gombe,38
3/31/2020,Binza Méteo,17
3/31/2020,Kintambo,10
3/31/2020,Lemba,9
3/31/2020,Limete,5
3/31/2020,Kalamu 1,4
3/31/2020,Kinshasa,4
3/31/2020,Kasa-vubu,3
3/31/2020,Bandalungwa,2
3/31/2020,Binza Ozone,2
3/31/2020,Masina 1,1
3/31/2020,Ngiri-Ngiri,1
3/31/2020,Barumbu,1
3/31/2020,N'sele,1
3/31/2020,Kingabwa,1
3/31/2020,Mont-Ngafula 1,1
4/1/2020,Gombe,6
4/1/2020,Kintambo,1
4/1/2020,Lemba,1
4/1/2020,Limete,1
4/1/2020,Bandalungwa,1
4/1/2020,Masina 2,1
4/1/2020,Kingabwa,1
4/1/2020,Kingasani,1
4/1/2020,Goma,1
4/2/2020,Gombe,1
4/2/2020,Binza Méteo,3
4/2/2020,Binza Ozone,1
4/2/2020,Ngiri-Ngiri,1
4/2/2020,Barumbu,1
4/2/2020,Goma,1
4/2/2020,Beni,2
4/2/2020,Bunia,1
4/3/2020,Gombe,1
4/3/2020,Binza Méteo,1
4/3/2020,Kintambo,1
4/3/2020,Lemba,2
4/3/2020,Limete,1
4/3/2020,Kinshasa,1
4/3/2020,Masina 1,1
4/3/2020,Mont-Ngafula 2,1
4/3/2020,Matete,2
4/3/2020,Idiofa,1
4/3/2020,Beni,1
4/3/2020,Bukavu,1
4/4/2020,Gombe,2
4/4/2020,Kintambo,1
4/4/2020,Binza Ozone,1
4/4/2020,Mont-Ngafula 2,1
4/4/2020,Matete,1
4/5/2020,Gombe,5
4/5/2020,Binza Méteo,1
4/5/2020,Binza Ozone,1
4/6/2020,Gombe,9
4/6/2020,Binza Méteo,3
4/6/2020,Kasa-vubu,1
4/6/2020,Binza Ozone,1
4/6/2020,Maluku 1,2
4/6/2020,Zone indeterminée,2
4/6/2020,Ibanda,1
4/7/2020,Gombe,1
4/7/2020,Lemba,1
4/7/2020,Barumbu,1
4/8/2020,Gombe,16
4/8/2020,Limete,3
4/8/2020,Binza Ozone,3
4/8/2020,Selembao,1
4/8/2020,Zone indeterminée,1
4/9/2020,Binza Méteo,1
4/9/2020,Kintambo,1
4/9/2020,Limete,4
4/9/2020,Binza Ozone,2
4/10/2020,Gombe,1
4/10/2020,Binza Méteo,1
4/10/2020,Lemba,1
4/10/2020,Binza Ozone,2
4/10/2020,Barumbu,2
4/10/2020,Lingwala,1
4/11/2020,Gombe,2
4/11/2020,Limete,1
4/11/2020,Lemba,1
4/11/2020,Binza Ozone,1
4/11/2020,Kasa-vubu,1
4/11/2020,Matete,1
4/11/2020,N'sele,1
4/11/2020,Zone indeterminée,3
4/12/2020,Gombe,1
4/13/2020,Gombe,4
4/13/2020,Binza Méteo,1
4/13/2020,Mont-Ngafula 1,1
4/14/2020,Gombe,3
4/14/2020,Binza Ozone,4
4/14/2020,Limete,2
4/14/2020,Lemba,1
4/14/2020,Bandalungwa,1
4/14/2020,Zone indeterminée,2
4/15/2020,Gombe,1
4/15/2020,Limete,4
4/15/2020,Kasa-vubu,1
4/15/2020,Lingwala,2
4/15/2020,Ngiri-Ngiri,1
4/15/2020,N'sele,1
4/15/2020,Selembao,1
4/15/2020,Kalamu 2,1
4/15/2020,Zone indeterminée,1
4/16/2020,Gombe,2
4/16/2020,Binza Ozone,4
4/16/2020,Limete,3
4/16/2020,Barumbu,1
4/16/2020,Kasa-vubu,1
4/16/2020,N'sele,1
4/16/2020,Mont-Ngafula 2,2
4/16/2020,Kisenso,1
4/16/2020,Zone indeterminée,5
4/17/2020,Gombe,6
4/17/2020,Binza Ozone,3
4/17/2020,Kalamu 1,1
4/17/2020,Matete,1
4/17/2020,N'sele,1
4/17/2020,Mont-Ngafula 1,1
4/17/2020,Selembao,2
4/17/2020,Bumbu,1
4/17/2020,Zone indeterminée,4
4/18/2020,Gombe,8
4/18/2020,Binza Ozone,2
4/18/2020,Limete,5
4/18/2020,Kinshasa,1
4/18/2020,Lingwala,1
4/18/2020,N'sele,1
4/18/2020,Zone indeterminée,2
4/19/2020,Binza Méteo,2
4/19/2020,Binza Ozone,1
4/19/2020,Kingabwa,1
4/19/2020,Zone indeterminée,1
4/20/2020,Gombe,3
4/20/2020,Kintambo,2
4/20/2020,Lemba,2
4/20/2020,Kalamu 1,2
4/20/2020,Selembao,1
4/20/2020,Mont-Ngafula 2,1
4/20/2020,Ngiri-Ngiri,3
4/20/2020,Makala,1
4/20/2020,Zone indeterminée,3
4/21/2020,Gombe,1
4/21/2020,Binza Méteo,1
4/21/2020,Limete,7
4/22/2020,Gombe,3
4/22/2020,Limete,3
4/22/2020,Binza Ozone,2
4/22/2020,Lemba,1
4/22/2020,Kinshasa,2
4/22/2020,Kalamu 1,2
4/22/2020,Matete,3
4/22/2020,Kingabwa,1
4/22/2020,Masina 1,1
4/23/2020,Limete,1
4/23/2020,Binza Méteo,6
4/23/2020,Binza Ozone,5
4/23/2020,Kinshasa,1
4/23/2020,Kasa-vubu,1
4/23/2020,Kingabwa,1
4/23/2020,Kikimi,1
4/23/2020,Zone indeterminée,1
4/24/2020,Binza Ozone,6
4/24/2020,Binza Méteo,1
4/24/2020,Limete,1
4/24/2020,Kingabwa,3
4/24/2020,Matete,1
4/24/2020,Bandalungwa,3
4/24/2020,N'sele,1
4/24/2020,Bumbu,1
4/24/2020,Zone indeterminée,4
4/24/2020,Kenya,1
4/25/2020,Gombe,4
4/25/2020,Limete,1
4/25/2020,Binza Méteo,5
4/25/2020,Lemba,7
4/25/2020,Kintambo,1
4/25/2020,Kasa-vubu,1
4/25/2020,Kalamu 1,1
4/25/2020,Lingwala,1
4/25/2020,Bumbu,2
4/25/2020,N'djili,1
4/25/2020,Makala,1
4/25/2020,Kokolo (Ndolo),1
4/26/2020,Gombe,2
4/26/2020,Binza Ozone,1
4/26/2020,Limete,1
4/26/2020,Binza Méteo,2
4/26/2020,Kintambo,3
4/26/2020,Matete,1
4/26/2020,Lingwala,3
4/26/2020,N'sele,1
4/26/2020,Bumbu,1
4/26/2020,Kalamu 2,1
4/26/2020,Zone indeterminée,1
4/27/2020,Binza Ozone,1
4/27/2020,Binza Méteo,2
4/27/2020,Lingwala,3
4/27/2020,Matete,2
4/27/2020,Zone indeterminée,2
4/27/2020,Matadi,2
4/28/2020,Binza Ozone,1
4/28/2020,Limete,1
4/28/2020,Binza Méteo,2
4/28/2020,Lemba,5
4/28/2020,Kintambo,1
4/28/2020,Kalamu 1,2
4/28/2020,Kinshasa,2
4/28/2020,Kingabwa,3
4/28/2020,Kalamu 2,1
4/28/2020,Kokolo (Ndolo),2
4/29/2020,Limete,1
4/29/2020,Lemba,1
4/29/2020,N'sele,1
4/29/2020,Kalamu 2,1
4/29/2020,Ngaba,1
4/29/2020,Tshamilemba,4
4/30/2020,Gombe,1
4/30/2020,Binza Ozone,4
4/30/2020,Limete,5
4/30/2020,Kokolo (Ndolo),42
4/30/2020,Kalamu 1,4
4/30/2020,Bandalungwa,3
4/30/2020,Selembao,2
4/30/2020,Bumbu,1
4/30/2020,Mont-Ngafula 1,1
4/30/2020,Kimbanseke,1
4/30/2020,Zone indeterminée,6
4/30/2020,Butembo,1
5/1/2020,Gombe,1
5/1/2020,Binza Ozone,3
5/1/2020,Limete,4
5/1/2020,Kokolo (Ndolo),2
5/1/2020,Binza Méteo,1
5/1/2020,Lemba,1
5/1/2020,Kalamu 1,1
5/1/2020,Lingwala,4
5/1/2020,Kintambo,1
5/1/2020,Matete,3
5/1/2020,Kingabwa,2
5/1/2020,Kasa-vubu,
5/1/2020,Kinshasa,
5/1/2020,Bandalungwa,
5/1/2020,Barumbu,
5/1/2020,N'sele,
5/1/2020,Selembao,
5/1/2020,Bumbu,
5/1/2020,Ngiri-Ngiri,1
5/1/2020,Mont-Ngafula 1,1
5/1/2020,Mont-Ngafula 2,
5/1/2020,Kalamu 2,
5/1/2020,Masina 1,
5/1/2020,Kikimi,
5/1/2020,Maluku 1,
5/1/2020,N'djili,
5/1/2020,Makala,
5/1/2020,Ngaba,
5/1/2020,Masina 2,
5/1/2020,Kisenso,
5/1/2020,Kimbanseke,
5/1/2020,Zone indeterminée,2
5/1/2020,Goma,
5/1/2020,Beni,
5/1/2020,Butembo,
5/1/2020,Ibanda,
5/1/2020,Nyankunde,
5/1/2020,Bunia,
5/1/2020,Idiofa,
5/1/2020,Kenya,
5/1/2020,Tshamilemba,
5/1/2020,Kasumbalesa,1
5/1/2020,Matadi,3
5/1/2020,Nzanza,1
5/2/2020,Gombe,
5/2/2020,Binza Ozone,
5/2/2020,Limete,
5/2/2020,Kokolo (Ndolo),56
5/2/2020,Binza Méteo,3
5/2/2020,Lemba,2
5/2/2020,Kalamu 1,
5/2/2020,Lingwala,
5/2/2020,Kintambo,
5/2/2020,Matete,2
5/2/2020,Kingabwa,2
5/2/2020,Kasa-vubu,1
5/2/2020,Kinshasa,
5/2/2020,Bandalungwa,
5/2/2020,Barumbu,
5/2/2020,N'sele,1
5/2/2020,Selembao,1
5/2/2020,Bumbu,1
5/2/2020,Ngiri-Ngiri,
5/2/2020,Mont-Ngafula 1,
5/2/2020,Mont-Ngafula 2,
5/2/2020,Kalamu 2,
5/2/2020,Masina 1,
5/2/2020,Kikimi,
5/2/2020,Maluku 1,
5/2/2020,N'djili,
5/2/2020,Makala,
5/2/2020,Ngaba,
5/2/2020,Masina 2,1
5/2/2020,Kisenso,
5/2/2020,Kimbanseke,
5/2/2020,Zone indeterminée,
5/2/2020,Goma,
5/2/2020,Beni,
5/2/2020,Butembo,
5/2/2020,Ibanda,
5/2/2020,Nyankunde,
5/2/2020,Bunia,
5/2/2020,Idiofa,
5/2/2020,Kenya,
5/2/2020,Tshamilemba,
5/2/2020,Kasumbalesa,
5/2/2020,Matadi,
5/2/2020,Nzanza,
5/3/2020,Gombe,
5/3/2020,Binza Ozone,
5/3/2020,Limete,
5/3/2020,Kokolo (Ndolo),
5/3/2020,Binza Méteo,
5/3/2020,Lemba,1
5/3/2020,Kalamu 1,
5/3/2020,Lingwala,
5/3/2020,Kintambo,
5/3/2020,Matete,
5/3/2020,Kingabwa,
5/3/2020,Kasa-vubu,
5/3/2020,Kinshasa,
5/3/2020,Bandalungwa,
5/3/2020,Barumbu,
5/3/2020,N'sele,
5/3/2020,Selembao,
5/3/2020,Bumbu,
5/3/2020,Ngiri-Ngiri,
5/3/2020,Mont-Ngafula 1,1
5/3/2020,Mont-Ngafula 2,
5/3/2020,Kalamu 2,
5/3/2020,Masina 1,
5/3/2020,Kikimi,
5/3/2020,Maluku 1,
5/3/2020,N'djili,
5/3/2020,Makala,
5/3/2020,Ngaba,
5/3/2020,Masina 2,
5/3/2020,Kisenso,
5/3/2020,Kimbanseke,
5/3/2020,Zone indeterminée,1
5/3/2020,Goma,1
5/3/2020,Beni,
5/3/2020,Butembo,
5/3/2020,Ibanda,
5/3/2020,Nyankunde,
5/3/2020,Bunia,
5/3/2020,Idiofa,
5/3/2020,Kenya,
5/3/2020,Tshamilemba,4
5/3/2020,Kasumbalesa,
5/3/2020,Matadi,
5/3/2020,Nzanza,
5/4/2020,Gombe,
5/4/2020,Binza Ozone,
5/4/2020,Limete,2
5/4/2020,Kokolo (Ndolo),
5/4/2020,Binza Méteo,
5/4/2020,Lemba,8
5/4/2020,Kalamu 1,1
5/4/2020,Lingwala,
5/4/2020,Kintambo,3
5/4/2020,Matete,
5/4/2020,Kingabwa,
5/4/2020,Kasa-vubu,
5/4/2020,Kinshasa,
5/4/2020,Bandalungwa,1
5/4/2020,Barumbu,3
5/4/2020,N'sele,
5/4/2020,Selembao,
5/4/2020,Bumbu,
5/4/2020,Ngiri-Ngiri,
5/4/2020,Mont-Ngafula 1,
5/4/2020,Mont-Ngafula 2,
5/4/2020,Kalamu 2,
5/4/2020,Masina 1,1
5/4/2020,Kikimi,
5/4/2020,Maluku 1,
5/4/2020,N'djili,
5/4/2020,Makala,
5/4/2020,Ngaba,1
5/4/2020,Masina 2,
5/4/2020,Kisenso,1
5/4/2020,Kimbanseke,
5/4/2020,Zone indeterminée,2
5/4/2020,Goma,
5/4/2020,Beni,
5/4/2020,Butembo,
5/4/2020,Ibanda,
5/4/2020,Nyankunde,
5/4/2020,Bunia,
5/4/2020,Idiofa,
5/4/2020,Kenya,
5/4/2020,Tshamilemba,
5/4/2020,Kasumbalesa,
5/4/2020,Matadi,
5/4/2020,Nzanza,
5/5/2020,Gombe,3
5/5/2020,Binza Ozone,4
5/5/2020,Limete,3
5/5/2020,Kokolo (Ndolo),40
5/5/2020,Binza Méteo,2
5/5/2020,Lemba,4
5/5/2020,Kalamu 1,
5/5/2020,Lingwala,2
5/5/2020,Kintambo,
5/5/2020,Matete,
5/5/2020,Kingabwa,3
5/5/2020,Kasa-vubu,
5/5/2020,Kinshasa,
5/5/2020,Bandalungwa,3
5/5/2020,Barumbu,2
5/5/2020,N'sele,1
5/5/2020,Selembao,
5/5/2020,Bumbu,
5/5/2020,Ngiri-Ngiri,
5/5/2020,Mont-Ngafula 1,
5/5/2020,Mont-Ngafula 2,
5/5/2020,Kalamu 2,
5/5/2020,Masina 1,
5/5/2020,Kikimi,
5/5/2020,Maluku 1,
5/5/2020,N'djili,
5/5/2020,Makala,
5/5/2020,Ngaba,
5/5/2020,Masina 2,
5/5/2020,Kisenso,1
5/5/2020,Kimbanseke,
5/5/2020,Zone indeterminée,1
5/5/2020,Goma,
5/5/2020,Beni,
5/5/2020,Butembo,
5/5/2020,Ibanda,
5/5/2020,Nyankunde,
5/5/2020,Bunia,
5/5/2020,Idiofa,
5/5/2020,Kenya,
5/5/2020,Tshamilemba,
5/5/2020,Kasumbalesa,
5/5/2020,Matadi,14
5/5/2020,Nzanza,9
5/6/2020,Gombe,1
5/6/2020,Binza Ozone,3
5/6/2020,Limete,12
5/6/2020,Kokolo (Ndolo),10
5/6/2020,Binza Méteo,3
5/6/2020,Lemba,1
5/6/2020,Kalamu 1,1
5/6/2020,Lingwala,2
5/6/2020,Kintambo,2
5/6/2020,Matete,3
5/6/2020,Kingabwa,1
5/6/2020,Kasa-vubu,3
5/6/2020,Kinshasa,1
5/6/2020,Bandalungwa,1
5/6/2020,Barumbu,1
5/6/2020,N'sele,2
5/6/2020,Selembao,2
5/6/2020,Bumbu,
5/6/2020,Ngiri-Ngiri,
5/6/2020,Mont-Ngafula 1,
5/6/2020,Mont-Ngafula 2,
5/6/2020,Kalamu 2,2
5/6/2020,Masina 1,
5/6/2020,Kikimi,1
5/6/2020,Maluku 1,
5/6/2020,N'djili,3
5/6/2020,Makala,
5/6/2020,Ngaba,
5/6/2020,Masina 2,
5/6/2020,Kisenso,1
5/6/2020,Kimbanseke,
5/6/2020,Zone indeterminée,9
5/6/2020,Police,1
5/6/2020,Goma,
5/6/2020,Beni,
5/6/2020,Butembo,
5/6/2020,Ibanda,
5/6/2020,Nyankunde,
5/6/2020,Bunia,
5/6/2020,Idiofa,
5/6/2020,Kenya,
5/6/2020,Tshamilemba,
5/6/2020,Kasumbalesa,
5/6/2020,Matadi,
5/6/2020,Nzanza,
5/7/2020,Gombe,1
5/7/2020,Binza Ozone,
5/7/2020,Limete,4
5/7/2020,Kokolo (Ndolo),14
5/7/2020,Binza Méteo,3
5/7/2020,Lemba,
5/7/2020,Kalamu 1,1
5/7/2020,Lingwala,2
5/7/2020,Kintambo,
5/7/2020,Matete,1
5/7/2020,Kingabwa,
5/7/2020,Kasa-vubu,
5/7/2020,Kinshasa,1
5/7/2020,Bandalungwa,2
5/7/2020,Barumbu,1
5/7/2020,N'sele,
5/7/2020,Selembao,
5/7/2020,Bumbu,
5/7/2020,Ngiri-Ngiri,1
5/7/2020,Mont-Ngafula 1,
5/7/2020,Mont-Ngafula 2,
5/7/2020,Kalamu 2,
5/7/2020,Masina 1,
5/7/2020,Kikimi,
5/7/2020,Maluku 1,
5/7/2020,N'djili,2
5/7/2020,Makala,
5/7/2020,Ngaba,
5/7/2020,Masina 2,
5/7/2020,Kisenso,
5/7/2020,Kimbanseke,1
5/7/2020,Zone indeterminée,
5/7/2020,Police,
5/7/2020,Goma,
5/7/2020,Beni,
5/7/2020,Butembo,
5/7/2020,Ibanda,
5/7/2020,Nyankunde,
5/7/2020,Bunia,
5/7/2020,Idiofa,
5/7/2020,Kenya,
5/7/2020,Tshamilemba,
5/7/2020,Kasumbalesa,
5/7/2020,Matadi,
5/7/2020,Nzanza,
5/8/2020,Gombe,3
5/8/2020,Binza Ozone,2
5/8/2020,Limete,7
5/8/2020,Kokolo (Ndolo),
5/8/2020,Binza Méteo,
5/8/2020,Lemba,7
5/8/2020,Kalamu 1,
5/8/2020,Lingwala,5
5/8/2020,Kintambo,
5/8/2020,Matete,
5/8/2020,Kingabwa,
5/8/2020,Kasa-vubu,6
5/8/2020,Kinshasa,
5/8/2020,Bandalungwa,
5/8/2020,Barumbu,3
5/8/2020,N'sele,
5/8/2020,Selembao,
5/8/2020,Bumbu,1
5/8/2020,Ngiri-Ngiri,
5/8/2020,Mont-Ngafula 1,
5/8/2020,Mont-Ngafula 2,
5/8/2020,Kalamu 2,2
5/8/2020,Masina 1,1
5/8/2020,Kikimi,
5/8/2020,Maluku 1,
5/8/2020,N'djili,
5/8/2020,Makala,
5/8/2020,Ngaba,
5/8/2020,Masina 2,
5/8/2020,Kisenso,
5/8/2020,Kimbanseke,1
5/8/2020,Zone indeterminée,2
5/8/2020,Police,
5/8/2020,Goma,
5/8/2020,Beni,
5/8/2020,Butembo,
5/8/2020,Ibanda,
5/8/2020,Nyankunde,
5/8/2020,Bunia,
5/8/2020,Idiofa,
5/8/2020,Kenya,
5/8/2020,Tshamilemba,
5/8/2020,Kasumbalesa,
5/8/2020,Matadi,
5/8/2020,Nzanza,
5/9/2020,Gombe,3
5/9/2020,Binza Ozone,18
5/9/2020,Limete,1
5/9/2020,Kokolo (Ndolo),4
5/9/2020,Binza Méteo,2
5/9/2020,Lemba,
5/9/2020,Kalamu 1,
5/9/2020,Lingwala,1
5/9/2020,Kintambo,3
5/9/2020,Matete,
5/9/2020,Kingabwa,
5/9/2020,Kasa-vubu,
5/9/2020,Kinshasa,3
5/9/2020,Bandalungwa,4
5/9/2020,Barumbu,2
5/9/2020,N'sele,
5/9/2020,Selembao,
5/9/2020,Bumbu,
5/9/2020,Ngiri-Ngiri,
5/9/2020,Mont-Ngafula 1,
5/9/2020,Mont-Ngafula 2,2
5/9/2020,Kalamu 2,3
5/9/2020,Masina 1,
5/9/2020,Kikimi,
5/9/2020,Maluku 1,
5/9/2020,N'djili,1
5/9/2020,Makala,1
5/9/2020,Ngaba,
5/9/2020,Masina 2,
5/9/2020,Kisenso,
5/9/2020,Kimbanseke,2
5/9/2020,Zone indeterminée,4
5/9/2020,Police,
5/9/2020,Goma,
5/9/2020,Beni,
5/9/2020,Butembo,
5/9/2020,Ibanda,
5/9/2020,Nyankunde,
5/9/2020,Bunia,
5/9/2020,Idiofa,
5/9/2020,Kenya,
5/9/2020,Tshamilemba,
5/9/2020,Kasumbalesa,
5/9/2020,Matadi,
5/9/2020,Nzanza,
5/10/2020,Gombe,1
5/10/2020,Binza Ozone,2
5/10/2020,Limete,11
5/10/2020,Kokolo (Ndolo),
5/10/2020,Binza Méteo,1
5/10/2020,Lemba,1
5/10/2020,Kalamu 1,
5/10/2020,Lingwala,
5/10/2020,Kintambo,
5/10/2020,Matete,2
5/10/2020,Kingabwa,
5/10/2020,Kasa-vubu,1
5/10/2020,Kinshasa,1
5/10/2020,Bandalungwa,
5/10/2020,Barumbu,
5/10/2020,N'sele,1
5/10/2020,Selembao,1
5/10/2020,Bumbu,
5/10/2020,Ngiri-Ngiri,
5/10/2020,Mont-Ngafula 1,1
5/10/2020,Mont-Ngafula 2,
5/10/2020,Kalamu 2,
5/10/2020,Masina 1,
5/10/2020,Kikimi,
5/10/2020,Maluku 1,
5/10/2020,N'djili,8
5/10/2020,Makala,
5/10/2020,Ngaba,
5/10/2020,Masina 2,
5/10/2020,Kisenso,
5/10/2020,Kimbanseke,
5/10/2020,Zone indeterminée,
5/10/2020,Police,1
5/10/2020,Goma,1
5/10/2020,Beni,
5/10/2020,Butembo,
5/10/2020,Ibanda,
5/10/2020,Kadutu,1
5/10/2020,Nyankunde,
5/10/2020,Bunia,
5/10/2020,Idiofa,
5/10/2020,Kenya,
5/10/2020,Tshamilemba,
5/10/2020,Kasumbalesa,
5/10/2020,Matadi,
5/10/2020,Nzanza,
5/11/2020,Gombe,4
5/11/2020,Binza Ozone,
5/11/2020,Limete,14
5/11/2020,Kokolo (Ndolo),
5/11/2020,Binza Méteo,1
5/11/2020,Lemba,14
5/11/2020,Kalamu 1,2
5/11/2020,Lingwala,3
5/11/2020,Kintambo,3
5/11/2020,Matete,
5/11/2020,Kingabwa,1
5/11/2020,Kasa-vubu,
5/11/2020,Kinshasa,2
5/11/2020,Bandalungwa,
5/11/2020,Barumbu,1
5/11/2020,N'sele,1
5/11/2020,Selembao,
5/11/2020,Bumbu,
5/11/2020,Ngiri-Ngiri,1
5/11/2020,Mont-Ngafula 1,2
5/11/2020,Mont-Ngafula 2,
5/11/2020,Kalamu 2,
5/11/2020,Masina 1,
5/11/2020,Kikimi,
5/11/2020,Maluku 1,
5/11/2020,N'djili,6
5/11/2020,Makala,
5/11/2020,Ngaba,1
5/11/2020,Masina 2,1
5/11/2020,Kisenso,
5/11/2020,Kimbanseke,
5/11/2020,Zone indeterminée,5
5/11/2020,Police,
5/11/2020,Goma,
5/11/2020,Beni,
5/11/2020,Butembo,
5/11/2020,Ibanda,
5/11/2020,Kadutu,
5/11/2020,Nyankunde,
5/11/2020,Bunia,
5/11/2020,Idiofa,
5/11/2020,Kenya,
5/11/2020,Tshamilemba,
5/11/2020,Kasumbalesa,
5/11/2020,Matadi,13
5/11/2020,Nzanza,2
5/11/2020,Mvuzi,1
5/12/2020,Gombe,
5/12/2020,Binza Ozone,7
5/12/2020,Limete,6
5/12/2020,Kokolo (Ndolo),2
5/12/2020,Binza Méteo,2
5/12/2020,Lemba,3
5/12/2020,Kalamu 1,1
5/12/2020,Lingwala,5
5/12/2020,Kintambo,4
5/12/2020,Matete,
5/12/2020,Kingabwa,
5/12/2020,Kasa-vubu,8
5/12/2020,Kinshasa,
5/12/2020,Bandalungwa,3
5/12/2020,Barumbu,1
5/12/2020,N'sele,1
5/12/2020,Selembao,
5/12/2020,Bumbu,
5/12/2020,Ngiri-Ngiri,
5/12/2020,Mont-Ngafula 1,1
5/12/2020,Mont-Ngafula 2,
5/12/2020,Kalamu 2,
5/12/2020,Masina 1,
5/12/2020,Kikimi,
5/12/2020,Maluku 1,
5/12/2020,N'djili,1
5/12/2020,Makala,1
5/12/2020,Ngaba,
5/12/2020,Masina 2,
5/12/2020,Kisenso,
5/12/2020,Kimbanseke,
5/12/2020,Zone indeterminée,11
5/12/2020,Police,
5/12/2020,Goma,
5/12/2020,Beni,
5/12/2020,Butembo,
5/12/2020,Ibanda,
5/12/2020,Kadutu,
5/12/2020,Nyankunde,
5/12/2020,Bunia,
5/12/2020,Idiofa,
5/12/2020,Kenya,
5/12/2020,Tshamilemba,
5/12/2020,Kasumbalesa,
5/12/2020,Matadi,6
5/12/2020,Nzanza,4
5/12/2020,Mvuzi,
5/13/2020,Gombe,7
5/13/2020,Binza Ozone,1
5/13/2020,Limete,19
5/13/2020,Kokolo (Ndolo),2
5/13/2020,Binza Méteo,
5/13/2020,Lemba,1
5/13/2020,Kalamu 1,1
5/13/2020,Lingwala,2
5/13/2020,Kintambo,8
5/13/2020,Matete,1
5/13/2020,Kingabwa,
5/13/2020,Kasa-vubu,1
