date,zone,cas
6/15/2020,Maluku 1,
6/15/2020,N'djili,2
6/15/2020,Makala,
6/15/2020,Ngaba,1
6/15/2020,Masina 2,
6/15/2020,Kisenso,
6/15/2020,Kimbanseke,1
6/15/2020,Zone indeterminée,10
6/15/2020,Goma,
6/15/2020,Beni,
6/15/2020,Butembo,
6/15/2020,Ibanda,
6/15/2020,Nyankunde,
6/15/2020,Bunia,
6/15/2020,Idiofa,
6/15/2020,Kenya,
6/15/2020,Tshamilemba,
6/15/2020,Kasumbalesa,
6/15/2020,Matadi,
6/15/2020,Nzanza,3
6/16/2020,Gombe,42
6/16/2020,Binza Ozone,1
6/16/2020,Limete,3
6/16/2020,Kokolo (Ndolo),16
6/16/2020,Binza Méteo,4
6/16/2020,Lemba,5
6/16/2020,Kalamu 1,2
6/16/2020,Lingwala,1
6/16/2020,Kintambo,4
6/16/2020,Matete,
6/16/2020,Kingabwa,1
6/16/2020,Kasa-vubu,
6/16/2020,Kinshasa,4
6/16/2020,Bandalungwa,2
6/16/2020,Barumbu,4
6/16/2020,N'sele,
6/16/2020,Selembao,1
6/16/2020,Bumbu,
6/16/2020,Ngiri-Ngiri,1
6/16/2020,Mont-Ngafula 1,1
6/16/2020,Mont-Ngafula 2,
6/16/2020,Kalamu 2,2
6/16/2020,Masina 1,1
6/16/2020,Kikimi,
6/16/2020,Maluku 1,
6/16/2020,N'djili,6
6/16/2020,Makala,
6/16/2020,Ngaba,
6/16/2020,Masina 2,
6/16/2020,Kisenso,
6/16/2020,Kimbanseke,1
6/16/2020,Zone indeterminée,22
6/16/2020,Goma,
6/16/2020,Beni,
6/16/2020,Butembo,
6/16/2020,Ibanda,
6/16/2020,Nyankunde,
6/16/2020,Bunia,
6/16/2020,Idiofa,
6/16/2020,Kenya,
6/16/2020,Tshamilemba,
6/16/2020,Kasumbalesa,
6/16/2020,Karisimbi,2
6/16/2020,Matadi,
6/16/2020,Nzanza,
6/17/2020,Gombe,21
6/17/2020,Binza Ozone,22
6/17/2020,Limete,14
6/17/2020,Kokolo (Ndolo),3
6/17/2020,Binza Méteo,12
6/17/2020,Lemba,8
6/17/2020,Kalamu 1,1
6/17/2020,Lingwala,24
6/17/2020,Kintambo,3
6/17/2020,Matete,4
6/17/2020,Kingabwa,1
6/17/2020,Kasa-vubu,8
6/17/2020,Kinshasa,2
6/17/2020,Bandalungwa,5
6/17/2020,Barumbu,1
6/17/2020,N'sele,2
6/17/2020,Selembao,
6/17/2020,Bumbu,2
6/17/2020,Ngiri-Ngiri,1
6/17/2020,Mont-Ngafula 1,4
6/17/2020,Mont-Ngafula 2,1
6/17/2020,Kalamu 2,
6/17/2020,Masina 1,1
6/17/2020,Kikimi,
6/17/2020,Maluku 1,
6/17/2020,N'djili,8
6/17/2020,Makala,1
6/17/2020,Ngaba,1
6/17/2020,Masina 2,2
6/17/2020,Kisenso,
6/17/2020,Kimbanseke,1
6/17/2020,Zone indeterminée,15
6/17/2020,Goma,
6/17/2020,Beni,
6/17/2020,Butembo,
6/17/2020,Ibanda,
6/17/2020,Nyankunde,
6/17/2020,Bunia,
6/17/2020,Idiofa,
6/17/2020,Kenya,
6/17/2020,Tshamilemba,
6/17/2020,Kasumbalesa,
6/17/2020,Matadi,
6/17/2020,Mumbonda,15
6/17/2020,Nzanza,
6/18/2020,Gombe,11
6/18/2020,Binza Ozone,15
6/18/2020,Limete,8
6/18/2020,Kokolo (Ndolo),18
6/18/2020,Binza Méteo,11
6/18/2020,Lemba,16
6/18/2020,Kalamu 1,
6/18/2020,Lingwala,21
6/18/2020,Kintambo,9
6/18/2020,Matete,1
6/18/2020,Kingabwa,6
6/18/2020,Kasa-vubu,9
6/18/2020,Kinshasa,2
6/18/2020,Bandalungwa,5
6/18/2020,Barumbu,1
6/18/2020,N'sele,1
6/18/2020,Selembao,5
6/18/2020,Bumbu,1
6/18/2020,Ngiri-Ngiri,2
6/18/2020,Mont-Ngafula 1,6
6/18/2020,Mont-Ngafula 2,3
6/18/2020,Kalamu 2,
6/18/2020,Masina 1,1
6/18/2020,Police,1
6/18/2020,Kikimi,1
6/18/2020,Maluku 1,
6/18/2020,N'djili,4
6/18/2020,Makala,2
6/18/2020,Ngaba,1
6/18/2020,Masina 2,
6/18/2020,Kisenso,
6/18/2020,Kimbanseke,
6/18/2020,Zone indeterminée,4
6/18/2020,Goma,
6/18/2020,Beni,
6/18/2020,Butembo,
6/18/2020,Ibanda,
6/18/2020,Nyankunde,
6/18/2020,Bunia,
6/18/2020,Idiofa,
6/18/2020,Kenya,
6/18/2020,Tshamilemba,
6/18/2020,Kasumbalesa,
6/18/2020,Matadi,
6/18/2020,Lubumbashi,28
6/18/2020,Bandundu,1
6/18/2020,Nzanza,
6/19/2020,Gombe,15
6/19/2020,Binza Ozone,9
6/19/2020,Limete,10
6/19/2020,Kokolo (Ndolo),11
6/19/2020,Binza Méteo,6
6/19/2020,Lemba,7
6/19/2020,Kalamu 1,4
6/19/2020,Lingwala,7
6/19/2020,Kintambo,7
6/19/2020,Matete,3
6/19/2020,Kingabwa,3
6/19/2020,Kasa-vubu,1
6/19/2020,Kinshasa,1
6/19/2020,Bandalungwa,2
6/19/2020,Barumbu,6
6/19/2020,N'sele,1
6/19/2020,Selembao,6
6/19/2020,Bumbu,
6/19/2020,Ngiri-Ngiri,3
6/19/2020,Mont-Ngafula 1,6
6/19/2020,Mont-Ngafula 2,1
6/19/2020,Kalamu 2,1
6/19/2020,Masina 1,
6/19/2020,Kikimi,
6/19/2020,Maluku 1,
6/19/2020,N'djili,2
6/19/2020,Makala,
6/19/2020,Ngaba,1
6/19/2020,Police,6
6/19/2020,Masina 2,
6/19/2020,Kisenso,1
6/19/2020,Kimbanseke,
6/19/2020,Zone indeterminée,17
6/19/2020,Goma,
6/19/2020,Beni,
6/19/2020,Boma,3
6/19/2020,Butembo,
6/19/2020,Ibanda,
6/19/2020,Nyankunde,
6/19/2020,Bunia,
6/19/2020,Idiofa,
6/19/2020,Kenya,
6/19/2020,Tshamilemba,1
6/19/2020,Kasumbalesa,
6/19/2020,Kampemba,3
6/19/2020,Katuba,2
6/19/2020,Kamalondo,1
6/19/2020,Kidishi,1
6/19/2020,Matadi,8
6/19/2020,Mumbunda,4
6/19/2020,Nzanza,7
6/19/2020,Lukula,3
6/19/2020,Lubumbashi,24
6/19/2020,Rwashi,1
6/20/2020,Gombe,8
6/20/2020,Binza Ozone,5
6/20/2020,Limete,2
6/20/2020,Kokolo (Ndolo),12
6/20/2020,Binza Méteo,6
6/20/2020,Lemba,4
6/20/2020,Kalamu 1,1
6/20/2020,Lingwala,5
6/20/2020,Kintambo,2
6/20/2020,Matete,1
6/20/2020,Kingabwa,
6/20/2020,Kasa-vubu,10
6/20/2020,Kinshasa,1
6/20/2020,Police,4
6/20/2020,Bandalungwa,6
6/20/2020,Barumbu,2
6/20/2020,N'sele,
6/20/2020,Selembao,
6/20/2020,Bumbu,
6/20/2020,Ngiri-Ngiri,1
6/20/2020,Mont-Ngafula 1,11
6/20/2020,Mont-Ngafula 2,
6/20/2020,Kalamu 2,
6/20/2020,Masina 1,1
6/20/2020,Kikimi,
6/20/2020,Maluku 1,
6/20/2020,N'djili,2
6/20/2020,Makala,
6/20/2020,Ngaba,
6/20/2020,Masina 2,1
6/20/2020,Kisenso,
6/20/2020,Kimbanseke,
6/20/2020,Zone indeterminée,39
6/20/2020,Goma,4
6/20/2020,Beni,
6/20/2020,Butembo,
6/20/2020,Ibanda,
6/20/2020,Nyankunde,
6/20/2020,Nyirangongo,1
6/20/2020,Bunia,
6/20/2020,Idiofa,
6/20/2020,Kenya,
6/20/2020,Lubumbashi,7
6/20/2020,Tshamilemba,1
6/20/2020,Karisimbi,4
6/20/2020,Kampemba,1
6/20/2020,Kasumbalesa,
6/20/2020,Matadi,
6/20/2020,Nzanza,
6/20/2020,Rwashi,2
6/20/2020,Mumbunda,6
6/20/2020,Likasi,2
6/20/2020,Panda,1
6/20/2020,Watsa,1
6/21/2020,Gombe,10
6/21/2020,Binza Ozone,8
6/21/2020,Limete,8
6/21/2020,Kokolo (Ndolo),11
6/21/2020,Binza Méteo,3
6/21/2020,Lemba,5
6/21/2020,Kalamu 1,
6/21/2020,Lingwala,13
6/21/2020,Kintambo,3
6/21/2020,Matete,1
6/21/2020,Kingabwa,1
6/21/2020,Kasa-vubu,9
6/21/2020,Kinshasa,2
6/21/2020,Bandalungwa,2
6/21/2020,Barumbu,1
6/21/2020,N'sele,1
6/21/2020,Selembao,1
6/21/2020,Police,5
6/21/2020,Bumbu,
6/21/2020,Ngiri-Ngiri,
6/21/2020,Mont-Ngafula 1,2
6/21/2020,Mont-Ngafula 2,
6/21/2020,Kalamu 2,
6/21/2020,Masina 1,
6/21/2020,Kikimi,
6/21/2020,Maluku 1,
6/21/2020,N'djili,
6/21/2020,Makala,
6/21/2020,Ngaba,1
6/21/2020,Masina 2,
6/21/2020,Kisenso,
6/21/2020,Kimbanseke,1
6/21/2020,Zone indeterminée,
6/21/2020,Goma,
6/21/2020,Beni,
6/21/2020,Butembo,
6/21/2020,Ibanda,
6/21/2020,Nyankunde,
6/21/2020,Bunia,
6/21/2020,Idiofa,
6/21/2020,Kenya,1
6/21/2020,Tshamilemba,1
6/21/2020,Kasumbalesa,
6/21/2020,Kampemba,2
6/21/2020,Matadi,
6/21/2020,Nzanza,
6/21/2020,Lubumbashi,7
6/22/2020,Gombe,13
6/22/2020,Binza Ozone,1
6/22/2020,Limete,3
6/22/2020,Kokolo (Ndolo),5
6/22/2020,Binza Méteo,3
6/22/2020,Lemba,8
6/22/2020,Kalamu 1,
6/22/2020,Lingwala,4
6/22/2020,Kintambo,4
6/22/2020,Matete,1
6/22/2020,Kingabwa,
6/22/2020,Kasa-vubu,4
6/22/2020,Kinshasa,1
6/22/2020,Bandalungwa,4
6/22/2020,Barumbu,1
6/22/2020,N'sele,2
6/22/2020,Selembao,
6/22/2020,Bumbu,1
6/22/2020,Ngiri-Ngiri,1
6/22/2020,Mont-Ngafula 1,7
6/22/2020,Mont-Ngafula 2,
6/22/2020,Kalamu 2,
6/22/2020,Masina 1,4
6/22/2020,Kikimi,
6/22/2020,Maluku 1,
6/22/2020,N'djili,2
6/22/2020,Makala,1
6/22/2020,Ngaba,2
6/22/2020,Masina 2,
6/22/2020,Police,2
6/22/2020,Kisenso,1
6/22/2020,Kimbanseke,
6/22/2020,Zone indeterminée,9
6/22/2020,Goma,
6/22/2020,Beni,
6/22/2020,Butembo,
6/22/2020,Ibanda,
6/22/2020,Nyankunde,
6/22/2020,Bunia,
6/22/2020,Boko Kivula,1
6/22/2020,Buta,3
6/22/2020,Idiofa,
6/22/2020,Kenya,
6/22/2020,Kimpese,1
6/22/2020,Tshamilemba,
6/22/2020,Kwilu Ngongo,1
6/22/2020,Kasumbalesa,
6/22/2020,Matadi,2
6/22/2020,Muanda,1
6/22/2020,Mbanza Ngungu,3
6/22/2020,Nzanza,6
6/23/2020,Gombe,15
6/23/2020,Binza Ozone,10
6/23/2020,Limete,13
6/23/2020,Kokolo (Ndolo),12
6/23/2020,Binza Méteo,6
6/23/2020,Lemba,11
6/23/2020,Kalamu 1,1
6/23/2020,Lingwala,8
6/23/2020,Kintambo,4
6/23/2020,Matete,3
6/23/2020,Kingabwa,3
6/23/2020,Kasa-vubu,2
6/23/2020,Kinshasa,4
6/23/2020,Bandalungwa,3
6/23/2020,Barumbu,5
6/23/2020,N'sele,9
6/23/2020,Selembao,3
6/23/2020,Bumbu,1
6/23/2020,Police,2
6/23/2020,Ngiri-Ngiri,2
6/23/2020,Mont-Ngafula 1,11
6/23/2020,Mont-Ngafula 2,
6/23/2020,Kalamu 2,
6/23/2020,Masina 1,5
6/23/2020,Kikimi,
6/23/2020,Maluku 1,
6/23/2020,N'djili,5
6/23/2020,Makala,
6/23/2020,Ngaba,
6/23/2020,Masina 2,
6/23/2020,Kisenso,
6/23/2020,Kimbanseke,1
6/23/2020,Zone indeterminée,23
6/23/2020,Goma,5
6/23/2020,Beni,
6/23/2020,Boma,3
6/23/2020,Butembo,
6/23/2020,Ibanda,7
6/23/2020,Nyankunde,
6/23/2020,Nyirangongo,2
6/23/2020,Bunia,
6/23/2020,Idiofa,
6/23/2020,Lukala,1
6/23/2020,Kangu,2
6/23/2020,Kenya,
6/23/2020,Tshamilemba,
6/23/2020,Kasumbalesa,
6/23/2020,Karisimbi,1
6/23/2020,Matadi,2
6/23/2020,Nzanza,
6/23/2020,Wangata,1
6/24/2020,Gombe,23
6/24/2020,Binza Ozone,21
6/24/2020,Limete,11
6/24/2020,Kokolo (Ndolo),10
6/24/2020,Binza Méteo,16
6/24/2020,Lemba,13
6/24/2020,Kalamu 1,
6/24/2020,Lingwala,9
6/24/2020,Kintambo,10
6/24/2020,Matete,3
6/24/2020,Kingabwa,3
6/24/2020,Kasa-vubu,5
6/24/2020,Kinshasa,7
6/24/2020,Bandalungwa,4
6/24/2020,Barumbu,3
6/24/2020,N'sele,1
6/24/2020,Police,2
6/24/2020,Selembao,
6/24/2020,Bumbu,3
6/24/2020,Ngiri-Ngiri,
6/24/2020,Mont-Ngafula 1,10
6/24/2020,Mont-Ngafula 2,5
6/24/2020,Kalamu 2,2
6/24/2020,Masina 1,1
6/24/2020,Kikimi,
6/24/2020,Maluku 1,
6/24/2020,N'djili,2
6/24/2020,Makala,1
6/24/2020,Ngaba,
6/24/2020,Masina 2,1
6/24/2020,Kisenso,
6/24/2020,Kimbanseke,1
6/24/2020,Zone indeterminée,15
6/24/2020,Goma,
6/24/2020,Beni,
6/24/2020,Butembo,
6/24/2020,Ibanda,3
6/24/2020,Nyankunde,
6/24/2020,Bunia,
6/24/2020,Bagira,3
6/24/2020,Bandundu,1
6/24/2020,Idiofa,
6/24/2020,Kenya,
6/24/2020,Kimpese,2
6/24/2020,Karisimbi,2
6/24/2020,Tshamilemba,
6/24/2020,Kasumbalesa,
6/24/2020,Matadi,
6/24/2020,Muanda,2
6/24/2020,Nzanza,
6/24/2020,Lukala,1
6/24/2020,Watsa,2
6/25/2020,Gombe,17
6/25/2020,Binza Ozone,5
6/25/2020,Limete,6
6/25/2020,Kokolo (Ndolo),1
6/25/2020,Binza Méteo,7
6/25/2020,Lemba,5
6/25/2020,Kalamu 1,1
6/25/2020,Lingwala,16
6/25/2020,Kintambo,5
6/25/2020,Matete,1
6/25/2020,Kingabwa,1
6/25/2020,Kasa-vubu,2
6/25/2020,Kinshasa,2
6/25/2020,Bandalungwa,7
6/25/2020,Barumbu,1
6/25/2020,N'sele,2
6/25/2020,Selembao,2
6/25/2020,Bumbu,
6/25/2020,Ngiri-Ngiri,4
6/25/2020,Mont-Ngafula 1,3
6/25/2020,Mont-Ngafula 2,1
6/25/2020,Kalamu 2,
6/25/2020,Masina 1,1
6/25/2020,Kikimi,
6/25/2020,Maluku 1,
6/25/2020,N'djili,
6/25/2020,Makala,
6/25/2020,Ngaba,1
6/25/2020,Masina 2,
6/25/2020,Kisenso,
6/25/2020,Kimbanseke,
6/25/2020,Zone indeterminée,24
6/25/2020,Goma,5
6/25/2020,Beni,
6/25/2020,Butembo,
6/25/2020,Bagira,1
6/25/2020,Ibanda,2
6/25/2020,Nyankunde,1
6/25/2020,Bunia,
6/25/2020,Idiofa,
6/25/2020,Kenya,
6/25/2020,Tshamilemba,8
6/25/2020,Kaditu,1
6/25/2020,Kasumbalesa,
6/25/2020,Karisimbi,1
6/25/2020,Matadi,
6/25/2020,Nzanza,1
6/25/2020,Masa,1
6/25/2020,Watsa,5
6/26/2020,Gombe,16
6/26/2020,Binza Ozone,2
6/26/2020,Limete,2
6/26/2020,Kokolo (Ndolo),17
6/26/2020,Binza Méteo,3
6/26/2020,Lemba,3
6/26/2020,Kalamu 1,
6/26/2020,Lingwala,4
6/26/2020,Kintambo,2
6/26/2020,Matete,4
6/26/2020,Kingabwa,
6/26/2020,Kasa-vubu,4
6/26/2020,Kinshasa,
6/26/2020,Bandalungwa,
6/26/2020,Barumbu,3
6/26/2020,N'sele,
6/26/2020,Selembao,2
6/26/2020,Bumbu,1
6/26/2020,Ngiri-Ngiri,
6/26/2020,Mont-Ngafula 1,2
6/26/2020,Mont-Ngafula 2,
6/26/2020,Kalamu 2,1
6/26/2020,Masina 1,
6/26/2020,Kikimi,
6/26/2020,Maluku 1,
6/26/2020,N'djili,1
6/26/2020,Makala,
6/26/2020,Ngaba,
6/26/2020,Masina 2,
6/26/2020,Kisenso,1
6/26/2020,Kimbanseke,
6/26/2020,Zone indeterminée,29
6/26/2020,Goma,4
6/26/2020,Beni,
6/26/2020,Butembo,
6/26/2020,Ibanda,5
6/26/2020,Nyankunde,
6/26/2020,Bunia,
6/26/2020,Idiofa,
6/26/2020,Kenya,
6/26/2020,Kisantu,2
6/26/2020,Kadutu,2
6/26/2020,Kimpese,6
6/26/2020,Tshamilemba,
6/26/2020,Kasumbalesa,
6/26/2020,Karisimbi,1
6/26/2020,Matadi,
6/26/2020,Mbanza ngungu,1
6/26/2020,Miti Murhesa,1
6/26/2020,Nzanza,
6/26/2020,Nyirangongo,3
6/26/2020,Lubumbashi,5
6/26/2020,Mumbunda,6
6/26/2020,Watsa,5
6/27/2020,Gombe,19
6/27/2020,Binza Ozone,5
6/27/2020,Limete,4
6/27/2020,Kokolo (Ndolo),2
6/27/2020,Binza Méteo,9
6/27/2020,Lemba,9
6/27/2020,Kalamu 1,
6/27/2020,Lingwala,2
6/27/2020,Kintambo,4
6/27/2020,Matete,2
6/27/2020,Kingabwa,4
6/27/2020,Kasa-vubu,6
6/27/2020,Kinshasa,2
6/27/2020,Bandalungwa,2
6/27/2020,Barumbu,6
6/27/2020,N'sele,4
6/27/2020,Selembao,
6/27/2020,Bumbu,
6/27/2020,Ngiri-Ngiri,1
6/27/2020,Mont-Ngafula 1,3
6/27/2020,Mont-Ngafula 2,1
6/27/2020,Kalamu 2,3
6/27/2020,Masina 1,4
6/27/2020,Kikimi,
6/27/2020,Maluku 1,
6/27/2020,N'djili,2
6/27/2020,Makala,
6/27/2020,Ngaba,2
6/27/2020,Masina 2,
6/27/2020,Kisenso,
6/27/2020,Kingasani,1
6/27/2020,Kimbanseke,1
6/27/2020,Zone indeterminée,26
6/27/2020,Goma,4
6/27/2020,Beni,
6/27/2020,Butembo,
6/27/2020,Ibanda,
6/27/2020,Nyankunde,
6/27/2020,Bunia,
6/27/2020,Idiofa,
6/27/2020,Lubumbashi,3
6/27/2020,Kenya,
6/27/2020,Tshamilemba,
6/27/2020,Kasumbalesa,1
6/27/2020,Fungurume,1
6/27/2020,Matadi,
6/27/2020,Makiso,3
6/27/2020,Nzanza,
6/27/2020,Watsa,1
6/28/2020,Gombe,4
6/28/2020,Binza Ozone,1
6/28/2020,Limete,3
6/28/2020,Kokolo (Ndolo),18
6/28/2020,Binza Méteo,
6/28/2020,Lemba,8
6/28/2020,Kalamu 1,1
6/28/2020,Lingwala,2
6/28/2020,Kintambo,4
6/28/2020,Matete,
6/28/2020,Kingabwa,
6/28/2020,Kasa-vubu,11
6/28/2020,Kinshasa,1
6/28/2020,Bandalungwa,2
6/28/2020,Barumbu,1
6/28/2020,N'sele,
6/28/2020,Selembao,
6/28/2020,Bumbu,2
6/28/2020,Ngiri-Ngiri,
6/28/2020,Mont-Ngafula 1,2
6/28/2020,Mont-Ngafula 2,
6/28/2020,Kalamu 2,1
6/28/2020,Masina 1,
6/28/2020,Kikimi,
6/28/2020,Maluku 1,
6/28/2020,N'djili,1
6/28/2020,Makala,
6/28/2020,Ngaba,
6/28/2020,Masina 2,
6/28/2020,Kisenso,1
6/28/2020,Kimbanseke,
6/28/2020,Zone indeterminée,23
6/28/2020,Goma,2
6/28/2020,Beni,
6/28/2020,Butembo,
6/28/2020,Ibanda,1
6/28/2020,Lukula,1
6/28/2020,Luozi,1
6/28/2020,Lualaba,3
6/28/2020,Nyankunde,
6/28/2020,Bunia,
6/28/2020,Idiofa,
6/28/2020,Uvira,1
6/28/2020,Gemena,3
6/28/2020,Kenya,
6/28/2020,Kimpese,4
6/28/2020,Karisimbi,4
6/28/2020,Kadutu,2
6/28/2020,Tshamilemba,
6/28/2020,Kasumbalesa,
6/28/2020,Matadi,
6/28/2020,Nzanza,
6/28/2020,Watsa,4
6/29/2020,Gombe,16
6/29/2020,Binza Ozone,3
6/29/2020,Limete,2
6/29/2020,Kokolo (Ndolo),11
6/29/2020,Binza Méteo,
6/29/2020,Lemba,3
6/29/2020,Kalamu 1,2
6/29/2020,Lingwala,8
6/29/2020,Kintambo,
6/29/2020,Matete,
6/29/2020,Kingabwa,
6/29/2020,Kasa-vubu,1
6/29/2020,Kinshasa,2
6/29/2020,Bandalungwa,3
6/29/2020,Barumbu,2
6/29/2020,N'sele,
6/29/2020,Selembao,4
6/29/2020,Bumbu,
6/29/2020,Ngiri-Ngiri,
6/29/2020,Mont-Ngafula 1,2
6/29/2020,Mont-Ngafula 2,2
6/29/2020,Kalamu 2,
6/29/2020,Masina 1,
6/29/2020,Kikimi,
6/29/2020,Maluku 1,
6/29/2020,N'djili,
6/29/2020,Makala,
6/29/2020,Ngaba,1
6/29/2020,Masina 2,
6/29/2020,Kisenso,1
6/29/2020,Kimbanseke,
6/29/2020,Zone indeterminée,12
6/29/2020,Goma,5
6/29/2020,Beni,1
6/29/2020,Butembo,
6/29/2020,Ibanda,1
6/29/2020,Nyankunde,
6/29/2020,Bunia,
6/29/2020,Idiofa,
6/29/2020,Kenya,
6/29/2020,Tshamilemba,
6/29/2020,Kasumbalesa,
6/29/2020,Kimpese,1
6/29/2020,Karisimbi,1
6/29/2020,Kadutu,2
6/29/2020,Matadi,1
6/29/2020,Nzanza,1
6/29/2020,Lubumbashi,3
6/29/2020,Sakania,1
6/29/2020,Kampemba,1
6/29/2020,Katuba,1
6/29/2020,Fungurume,1
6/29/2020,Watsa,2
6/29/2020,Lualaba,3
6/30/2020,Gombe,7
6/30/2020,Binza Ozone,10
6/30/2020,Limete,5
6/30/2020,Kokolo (Ndolo),5
6/30/2020,Binza Méteo,
6/30/2020,Lemba,2
6/30/2020,Kalamu 1,
6/30/2020,Lingwala,10
6/30/2020,Kintambo,
6/30/2020,Matete,
6/30/2020,Kingabwa,2
6/30/2020,Kasa-vubu,3
6/30/2020,Kinshasa,1
6/30/2020,Bandalungwa,2
6/30/2020,Barumbu,2
6/30/2020,N'sele,1
6/30/2020,Selembao,3
6/30/2020,Bumbu,1
6/30/2020,Ngiri-Ngiri,1
6/30/2020,Mont-Ngafula 1,
6/30/2020,Mont-Ngafula 2,
6/30/2020,Kalamu 2,
6/30/2020,Masina 1,1
6/30/2020,Kikimi,
6/30/2020,Maluku 1,
6/30/2020,N'djili,1
6/30/2020,Makala,1
6/30/2020,Ngaba,1
6/30/2020,Masina 2,
6/30/2020,Kisenso,
6/30/2020,Kimbanseke,
6/30/2020,Zone indeterminée,4
6/30/2020,Goma,2
6/30/2020,Beni,
6/30/2020,Butembo,
6/30/2020,Ibanda,
6/30/2020,Nyankunde,
6/30/2020,Bunia,
6/30/2020,Idiofa,
6/30/2020,Kenya,
6/30/2020,Tshamilemba,8
6/30/2020,Karisimbi,1
6/30/2020,Kasumbalesa,
6/30/2020,Matadi,
6/30/2020,Nzanza,
6/30/2020,Nyirangongo,1
6/30/2020,Walikale,2
6/30/2020,Makiso,2
6/30/2020,Kabondo,1
6/30/2020,Lualaba,3
7/1/2020,Gombe,3
7/1/2020,Binza Ozone,3
7/1/2020,Limete,4
7/1/2020,Kokolo (Ndolo),
7/1/2020,Binza Méteo,
7/1/2020,Lemba,2
7/1/2020,Kalamu 1,1
7/1/2020,Lingwala,5
7/1/2020,Kintambo,
7/1/2020,Matete,1
7/1/2020,Kingabwa,
7/1/2020,Kasa-vubu,2
7/1/2020,Kinshasa,1
7/1/2020,Bandalungwa,3
7/1/2020,Barumbu,
7/1/2020,N'sele,2
7/1/2020,Selembao,
7/1/2020,Bumbu,1
7/1/2020,Ngiri-Ngiri,4
7/1/2020,Mont-Ngafula 1,1
7/1/2020,Mont-Ngafula 2,
7/1/2020,Kalamu 2,
7/1/2020,Masina 1,
7/1/2020,Kikimi,
7/1/2020,Maluku 1,
7/1/2020,N'djili,
7/1/2020,Makala,
7/1/2020,Ngaba,
7/1/2020,Masina 2,
7/1/2020,Kisenso,
7/1/2020,Kimbanseke,
7/1/2020,Zone indeterminée,16
7/1/2020,Goma,3
7/1/2020,Beni,
7/1/2020,Butembo,
7/1/2020,Ibanda,2
7/1/2020,Nyankunde,
7/1/2020,Bunia,
7/1/2020,Bagira,1
7/1/2020,Idiofa,
7/1/2020,Kenya,
7/1/2020,Fizi,1
7/1/2020,Tshamilemba,
7/1/2020,Kasumbalesa,
7/1/2020,Kwilu Ngongo,1
7/1/2020,Matadi,
7/1/2020,Mbanza Ngungu,5
7/1/2020,Muanda,1
7/1/2020,Nzanza,
7/1/2020,Watsa,2
7/1/2020,Lualaba,2